date,year,month,city,mean_radiance,total_radiance,max_radiance
2018-04-01,2018,4,Johannesburg,15.9609275994294,271149.3080008144,142.6699981689453
2018-05-01,2018,5,Johannesburg,17.171379523306292,291712.8497801285,153.30999755859375
2018-06-01,2018,6,Johannesburg,16.81238336062426,285614.1089344109,171.0500030517578
2018-07-01,2018,7,Johannesburg,16.460436431116804,279635.1227010313,164.49000549316406
2018-08-01,2018,8,Johannesburg,15.1201385242224,256865.71611702105,139.75999450683594
2018-09-01,2018,9,Johannesburg,17.6091302327627,299149.49788259924,142.3800048828125
2018-10-01,2018,10,Johannesburg,15.947457555329382,270920.4746129234,130.2899932861328
2018-11-01,2018,11,Johannesburg,16.708230341844065,283844.72436747287,149.8300018310547
2018-12-01,2018,12,Johannesburg,13.969140859428448,237312.2021764785,153.0800018310547
2019-01-01,2019,1,Johannesburg,15.374365431031338,261184.6035643205,137.07000732421875
2019-02-01,2019,2,Johannesburg,15.915697961164817,270380.9325389141,142.38999938964844
2019-03-01,2019,3,Johannesburg,14.818668939753621,251744.25505513864,137.38999938964844
2019-04-01,2019,4,Johannesburg,15.76045261641884,267743.5753091423,138.9499969482422
2019-05-01,2019,5,Johannesburg,16.783010346934425,285115.1108475966,138.2899932861328
2019-06-01,2019,6,Johannesburg,17.60541976513168,299086.46327986434,165.30999755859375
2019-07-01,2019,7,Johannesburg,17.07777688378508,290122.698407339,153.44000244140625
2019-08-01,2019,8,Johannesburg,17.446604296587847,296388.45565297524,315.4700012207031
2019-09-01,2019,9,Johannesburg,16.706733072056455,283819.2882727176,141.8699951171875
2019-10-01,2019,10,Johannesburg,16.470414890984916,279804.63994689914,144.5800018310547
2019-11-01,2019,11,Johannesburg,14.822346254680687,251806.7264492079,133.1999969482422
2019-12-01,2019,12,Johannesburg,17.71685613048643,300979.5796519446,166.6300048828125
2020-01-01,2020,1,Johannesburg,14.17973610150541,240889.86104384117,118.11000061035156
2020-02-01,2020,2,Johannesburg,15.03139168977616,255358.0567032774,110.37000274658203
2020-03-01,2020,3,Johannesburg,15.84329585138293,269150.9424996222,131.75
2020-04-01,2020,4,Johannesburg,15.6942557363427,266619.00168316456,130.83999633789062
2020-05-01,2020,5,Johannesburg,15.465230501406552,262728.248242877,135.61000061035156
2020-06-01,2020,6,Johannesburg,16.180058489587967,274871.9731691109,134.88999938964844
2020-07-01,2020,7,Johannesburg,16.062559923571634,272875.8702065515,138.14999389648438
2020-08-01,2020,8,Johannesburg,16.884478291011657,286838.88051257463,125.8499984741211
2020-09-01,2020,9,Johannesburg,13.59594996266825,230972.3166793255,137.24000549316406
2020-10-01,2020,10,Johannesburg,14.65780455561938,249011.43979936765,124.12999725341797
2020-11-01,2020,11,Johannesburg,14.493526370876777,246220.6298144781,129.25999450683594
2020-12-01,2020,12,Johannesburg,17.798526288690653,302367.01824180345,126.5999984741211
2021-01-01,2021,1,Johannesburg,13.857255603392113,235411.45990691075,136.3699951171875
2021-02-01,2021,2,Johannesburg,12.89404522878371,219048.13610212068,125.01000213623047
2021-03-01,2021,3,Johannesburg,14.328252170121958,243412.89919319146,147.55999755859375
2021-04-01,2021,4,Johannesburg,14.651834456658955,248910.01786184357,124.55000305175781
